protocol,IP,ID,Time,F_Pck,B_Pck,B_Hash_IP,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,203.178.135.82,659126397,0.124014,52,28,15,15,0,0,0
6,163.169.103.30,237997597,0.202813,80,0,1,1,0,0,0
6,13.116.170.28,143218946,0.202813,0,80,1,2,0,0,0
6,203.178.135.82,659126397,0.288345,38,42,15,14,0,0,0
6,163.169.103.30,237997597,0.345423,80,0,1,1,0,0,0
6,13.116.170.28,143218946,0.345423,0,80,1,2,0,0,0
6,203.178.135.82,659126397,0.410623,47,33,15,13,0,0,0
6,163.169.103.30,237997597,0.507003,80,0,1,1,0,0,0
6,13.116.170.28,143218946,0.507003,0,80,1,3,0,0,0
6,203.178.135.82,659126397,0.570083,51,29,15,14,0,0,0
6,2403:7FF4:EF1:383A:D183:F5BE:F1:25,93606319,0.599749,80,0,1,4,0,0,0
6,2001:3E04:2BD:305E:3469:1D88:D655:CCF9,667765584,0.599749,0,80,1,1,0,0,0
6,2001:3E04:2BD:20D1:CC80:F65E:3CED:E573,548614336,0.600326,61,19,2,3,0,0,0
6,163.169.103.30,237997597,0.662913,80,0,1,1,0,0,0
6,13.116.170.28,143218946,0.662913,0,80,1,3,0,0,0
6,5.104.164.215,546350386,0.718582,0,80,13,14,0,0,0
6,203.178.135.82,659126397,0.763947,38,42,15,15,0,0,0
6,2400:5995:2DB7:27D3:47C8:DD4:5BB7:641,1046123743,0.807839,15,65,1,1,0,0,0
6,163.169.103.30,237997597,0.848422,80,0,1,1,0,0,0
6,13.116.170.28,143218946,0.848422,0,80,1,3,0,0,0
6,163.169.98.252,487070549,0.904389,44,36,1,1,0,0,0
6,188.190.145.228,640138995,0.904389,36,44,1,1,0,0,0
6,203.178.135.82,659126397,0.92159,37,43,15,15,0,0,0
6,2403:7FF4:EF1:383A:D183:F5BE:F1:25,93606319,1.01132,80,0,1,4,0,0,0
6,2001:3E04:2BD:305E:3469:1D88:D655:CCF9,667765584,1.01132,0,80,1,1,0,0,0
6,163.169.103.30,237997597,1.017945,80,0,1,1,0,0,0
6,13.116.170.28,143218946,1.017945,0,80,1,5,0,0,0
