CLDAP,MSSQL,NETBIOS,UDP-other
1514,649.3230769,272.4210526,403.2156863
1512.4,598.5357143,270.15,394.2291667
1512.666667,562.097561,269.8723404,409.9722222
1513,642.6268657,269.5675676,394.4782609
1511.6,589.2716049,271.0181818,396.0545455
1508.285714,607.962963,270.3269231,392.4705882
1506.761905,583.8734177,271.7058824,405.5909091
1514,628.0493827,273.2708333,399.6034483
1513.555556,628.93,270.3518519,393.6557377
1511.176471,628.0632911,271.6206897,408.3939394
1511.090909,631.484375,270.4705882,395.6226415
1514,647.2365591,270.1627907,409.3773585
1512.736842,675.2285714,269.1632653,404.5
1513.407407,609.2413793,270.1428571,388.2307692
1509.851852,610.8,271.45,383.5294118
1509.2,601.1190476,271,389.037037
1512.608696,613.8414634,270.3333333,403.2063492
1511.575758,590.7222222,269.5945946,406.0689655
1454.888889,587.6666667,270.027027,404.0652174
1513.448276,605.7575758,272.7560976,407.6530612
1490.969697,582.1938776,269.2439024,392.4864865
1504.47619,580.9576271,273.6,402.375
1513.666667,610.368932,270.5853659,414.9767442
1513.2,561.9615385,269.2,411.1875
1512.25,636.82,269.4615385,383.7352941
1511.333333,637.8113208,271.4269663,395.4418605
1509.891892,606.0634921,272.3170732,408.6756757
1513.733333,616.4081633,271,424.2372881
1502.4,605.7586207,270.66,407.9649123
1507.666667,641.9358974,271.9310345,427.7884615
1509.714286,655.0232558,271,414.4489796
1495.714286,584.2694301,270.0185185,387.9
1509.142857,574.8756757,272.3846154,396.8627451
1510.972973,608.7303371,272.8367347,397.326087
1510.363636,579.9615385,270.5952381,386.3181818
1508.064516,571.3373494,271.0196078,389.6666667
1510.571429,605.8831169,271.7659574,407.1836735
1513.25,582.6489362,271.3673469,401.0285714
1513.68,663.1290323,271.0222222,390.3636364
1494.363636,644.8181818,269.8196721,393.9491525
1506.96,572.4404762,270.704918,390.0545455
1509.851852,617.4482759,269.5882353,388.8181818
1506.75,647.2857143,272.6363636,389.9117647
1511.882353,645.9489796,271.8,411.275
1507.25,602.0888889,270.25,404.4418605
1511.189189,590.7352941,270.1910112,399.1818182
1514,592.78,273.2947368,405.7142857
1513.111111,641.2105263,271.4871795,405.3877551
1509.076923,582.9904762,270.6538462,401.255814
1513.666667,638.109589,271.372549,422.3846154
1508.133333,707.6547619,270.6851852,404.4310345
1504.47619,672.5454545,272.4693878,407.0819672
1510.533333,686.0606061,270.6538462,397.7727273
1509.714286,642.3548387,269.58,408.96
1507.333333,656.4408602,270.734375,407.1136364
1513.25,642.1948052,269.6567164,408.2391304
1509.75,621.830303,272.8474576,413.3469388
1508.909091,550.6380368,268.9811321,439.1851852
1507.538462,604.7586207,270.7605634,400.122449
1508.24,609.1881188,270.7301587,402.106383
1511.62963,590.57,270.7213115,409.2083333
1507.846154,605.4588235,271.02,426.8933333
1487.128205,607.4155844,270.3898305,422.7567568
1502,599.4418605,270.1016949,401.884058
1512.8,588.5376344,270.6909091,386.6666667
1510.848485,639.4117647,269.9393939,392.4
1502.857143,656.1585366,270.7,403.9318182
1513.777778,624.915493,271.5901639,402.1276596
1508.153846,625.954023,273.8421053,397.8484848
1499.37931,600.2769231,269.015873,406.7
1496.30303,622.2619048,273.0655738,395.2142857
1484.909091,602.8227848,270.7258065,400.8363636
1512.545455,593.9318182,269.2352941,392.6478873
1504.697674,615.0581395,268.5344828,401.3488372
1488.702703,580.3939394,269.3818182,397.5365854
1512.30303,551.7462687,269.6415094,421.3606557
1499.8,616.9263158,268.0545455,422.3829787
1510.292683,615.310559,270.3793103,400.5
1513.314286,593.7272727,271.3454545,401.5135135
1513.030303,604.3580247,271,405.2222222
1511,654.862069,269.5409836,400.28
1513.076923,630.7857143,270,397.6976744
1511.333333,617.3863636,270.6190476,415.627451
1506.888889,614.0447761,272.6545455,405.4736842
1511.142857,632.7802198,270.4,411.7254902
1510.75,624.2934783,273.5714286,406.0882353
1505.466667,611.75,272.2222222,407.6
1509.25,584.8923077,273.4576271,405.3414634
1510.285714,622.9534884,269.640625,394.8809524
1510.8,633.6351351,270.0862069,415.8571429
1511.230769,565.2567568,270.7213115,442.6666667
1500.5,594.172043,269.4242424,410.36
1512.709677,636.872093,268.5970149,408.1086957
1507.391304,592.7179487,270.6470588,408.4883721
1506.228571,552.9875,270.75,411.5625
1506.457143,641.6947368,271.6166667,407.1428571
1510.717949,586.9090909,270.453125,410.3880597
1514,600.308642,269.9411765,411.1639344
1512.823529,582.311828,271,411.9583333
1508.153846,638.5714286,271.3050847,415.627451
1513.157895,626.8602151,270.5138889,410.6304348
1511.333333,568.8202247,271.2769231,409.8636364
1510.093023,604.7402597,271.5454545,404.754386
1508.25641,638.9456522,269.9859155,413.3921569
1511.043478,637.1020408,271.7432432,414.2115385
1512.153846,638.4777778,272.2857143,408.3529412
1508.162162,626.8113208,271.2835821,398.6458333
1492.971429,629.4590164,270.71875,410.0606061
1511.333333,564.1824818,273.9189189,413.96875
1512.27027,634.1042945,273.5076923,400.2894737
1506.833333,641.5,270.0540541,397.627907
1512.4,643.94,274.1206897,404.5
1514,632.0816327,277.1967213,419.7352941
1513.5,553.137931,271.2721088,408.3333333
1510.941176,627.1758242,272.6641221,403.7209302
1511.241379,597.5428571,273.5714286,401.8510638
1508.571429,566.5416667,272.220339,390.859375
1483.555556,571.5227273,270.2837838,400.6486486
1509.862069,578.7836257,269.754386,395.4098361
1467.657143,600.5028571,271.8181818,409.1587302
