protocol,IP,ID,Time,F_Pck,B_Pck,F_Hash_IP,B_Hash_IP,F_Hash_port,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,192.225.202.156,786851504,10.284666,80,0,1,16,16,1,80,0,1
6,178.254.156.171,1046297972,19.351726,80,0,1,16,1,1,76,0,1
6,192.225.202.156,786851504,19.672407,80,0,1,16,16,1,80,0,1
6,165.124.3.187,186193821,30.393568,79,1,1,16,1,1,78,0,1
6,192.225.202.156,786851504,30.607236,80,0,1,16,15,1,80,0,1
6,110.142.235.230,176547894,37.598816,78,2,1,16,1,1,78,0,1
6,14.167.155.8,921768834,37.694183,80,0,1,16,1,1,80,0,1
6,175.158.154.221,822955710,39.065923,80,0,1,16,1,1,80,0,1
6,192.225.202.156,786851504,42.051423,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,44.638383,80,0,1,16,16,1,80,0,1
6,45.157.155.79,47353260,44.665445,80,0,1,16,1,1,80,0,1
6,14.167.155.8,921768834,46.871704,80,0,1,16,1,1,80,0,1
6,178.254.156.171,1046297972,46.955597,80,0,1,16,1,1,74,0,1
6,192.225.205.90,861917260,47.245742,80,0,1,16,16,1,80,0,1
6,192.225.202.156,786851504,50.883362,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,54.830069,80,0,1,16,1,1,80,0,1
6,192.225.207.28,646584275,57.162433,80,0,1,16,16,1,80,0,1
6,165.124.3.187,186193821,57.164272,79,1,1,16,1,1,75,0,1
6,192.225.205.90,861917260,58.359527,80,0,1,16,16,1,80,0,1
6,136.104.235.222,508334639,58.550084,78,2,1,16,16,1,78,0,1
6,192.225.202.156,786851504,61.639975,80,0,1,16,15,1,80,0,1
6,14.167.155.8,921768834,63.010141,80,0,1,16,1,1,80,0,1
6,185.183.30.113,754698047,63.240467,80,0,1,16,16,1,80,0,1
6,185.90.15.6,894986908,64.001142,80,0,1,16,16,1,80,0,1
6,192.225.205.90,861917260,67.385527,80,0,1,16,16,1,80,0,1
6,110.142.235.230,176547894,69.483113,78,2,1,16,1,1,76,0,1
6,192.225.207.28,646584275,69.948718,80,0,1,16,16,1,80,0,1
6,45.157.155.79,47353260,72.824578,78,2,1,16,1,1,76,0,1
6,192.225.202.156,786851504,73.77544,80,0,1,16,16,1,80,0,1
6,114.230.7.171,1040634059,77.20353,80,0,1,16,1,1,80,0,1
6,175.158.154.221,822955710,78.044403,80,0,1,16,1,1,80,0,1
6,14.167.155.8,921768834,78.863212,80,0,1,16,1,1,80,0,1
6,45.155.133.176,180031196,80.048258,80,0,1,16,16,1,79,0,1
6,192.225.205.90,861917260,80.967139,80,0,1,15,16,1,80,0,1
6,192.225.207.28,646584275,81.221576,80,0,1,16,16,1,80,0,1
6,14.98.182.248,613261125,81.747499,80,0,1,16,16,1,80,0,1
6,134.161.47.196,955916633,84.266589,80,0,1,16,1,1,80,0,1
6,192.225.202.156,786851504,84.483659,80,0,1,16,16,1,80,0,1
6,167.89.255.165,120894395,86.44363,80,0,1,16,1,1,80,0,1
6,165.124.3.187,186193821,88.341268,76,4,1,16,1,1,75,0,1
6,178.254.156.171,1046297972,88.569158,80,0,1,16,1,1,72,0,1
6,192.225.205.90,861917260,92.493776,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,94.421699,80,0,1,16,16,1,80,0,1
6,51.33.103.18,356032643,95.151275,80,0,1,15,1,1,80,0,1
6,192.225.202.156,786851504,95.602842,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,96.363453,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,97.209479,80,0,1,16,1,1,80,0,1
6,197.26.48.81,1002045873,97.582837,78,2,1,16,16,1,77,0,1
