bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,2,3,5,8,9,11,46,
1,2,5,6,7,10,12,17,
1,2,3,4,5,6,9,17,
1,2,4,5,11,12,13,16,
1,2,5,7,8,11,21,36,
1,2,3,5,7,9,19,24,
1,2,3,4,6,12,15,17,
1,2,3,4,5,7,8,27,
1,2,3,5,7,8,9,18,
1,3,4,5,6,8,10,12,
1,2,3,4,6,9,25,30,
1,2,3,4,6,8,9,17,
1,2,3,4,12,14,21,25,
1,2,5,6,10,11,19,28,
1,2,4,5,7,9,13,18,
1,2,4,5,6,10,11,19,
1,2,3,4,6,10,13,25,
1,2,3,4,6,7,12,24,
1,2,3,4,9,11,12,21,
1,2,3,8,9,10,11,15,
1,2,3,4,5,6,12,15,
1,2,3,5,6,7,8,14,
1,3,4,5,6,12,14,32,
1,2,3,4,5,7,9,35,
1,2,3,6,8,9,15,16,
1,2,3,4,5,9,13,14,
1,2,3,5,7,10,13,16,
1,2,3,4,5,8,9,18,
1,2,3,4,6,7,11,19,
1,2,3,4,6,8,11,19,
1,2,3,5,7,10,17,21,
1,2,3,4,6,8,16,21,
1,2,3,5,6,9,10,15,
1,2,3,4,5,6,8,13,
1,3,4,5,8,9,17,27,
1,3,5,9,12,13,14,18,
1,2,3,5,6,7,8,17,
1,3,4,5,6,7,12,27,
1,2,3,4,6,7,9,10,
1,2,5,7,8,10,13,32,
1,2,3,4,5,11,12,16,
1,2,3,4,8,9,10,15,
1,2,3,5,7,8,9,11,
1,2,6,8,11,12,13,38,
1,2,4,5,8,10,14,16,
1,2,3,4,6,7,10,11,
1,2,3,7,8,9,17,25,
1,2,4,5,8,9,11,22,
1,3,4,5,6,11,15,29,
1,2,4,5,12,13,18,27,
1,2,3,4,6,8,14,21,
1,2,3,6,10,11,13,22,
1,2,3,4,5,8,14,32,
1,2,3,5,8,9,11,13,
1,2,3,8,10,13,17,25,
1,2,3,4,13,16,22,34,
1,4,6,7,8,10,18,48,
1,2,4,5,7,8,10,13,
1,3,4,5,6,8,11,16,
1,4,5,6,13,15,17,23,
1,2,3,5,6,10,11,20,
1,2,3,5,7,9,13,44,
1,2,3,4,5,7,11,48,
1,2,8,9,10,12,14,17,
1,2,4,5,6,9,11,12,
1,2,3,4,6,9,11,13,
1,2,3,4,8,9,10,14,
1,2,4,6,13,15,19,25,
1,2,3,4,9,11,13,14,
1,2,3,4,5,9,16,34,
1,2,3,4,6,8,11,29,
1,2,4,5,8,10,12,40,
1,2,4,5,7,8,12,16,
1,2,3,4,6,7,21,36,
1,2,3,5,6,8,12,13,
1,2,3,4,6,7,11,14,
1,2,5,8,9,10,11,15,
1,3,4,7,8,11,14,15,
1,3,4,5,8,11,31,43,
1,2,4,6,7,8,18,27,
1,2,3,4,6,10,11,12,
1,5,7,8,11,12,16,18,
1,2,3,6,7,10,14,24,
1,2,3,5,8,11,17,24,
1,2,3,5,9,10,20,46,
1,2,6,8,10,11,12,15,
1,2,6,7,8,10,16,20,
1,4,6,7,10,11,14,17,
1,2,3,4,5,6,8,21,
1,2,3,4,5,10,11,24,
1,2,3,5,7,11,13,15,
1,2,3,5,7,8,10,29,
1,2,3,4,5,9,12,15,
1,2,3,4,8,9,17,39,
1,2,4,6,7,11,22,24,
1,2,3,4,9,14,15,17,
1,2,3,4,5,8,16,59,
1,2,3,6,7,8,9,11,
1,3,6,7,9,10,11,17,
1,2,3,4,6,8,12,15,
1,2,3,6,7,9,10,16,
1,3,4,6,10,11,14,17,
1,2,3,4,5,6,9,14,
1,2,3,4,5,6,14,31,
1,2,3,4,6,7,13,15,
1,2,3,5,7,9,13,14,
1,2,3,5,6,7,8,19,
1,2,3,4,5,7,9,23,
1,2,3,4,8,11,15,22,
1,2,3,4,5,8,11,14,
1,2,4,5,7,8,11,22,
1,3,4,5,7,11,16,19,
1,6,7,8,12,21,25,41,
1,2,3,4,6,7,10,18,
1,3,4,5,7,18,22,23,
1,2,3,6,8,9,10,13,
1,2,4,7,8,11,12,21,
1,2,3,4,5,7,13,17,
1,2,6,8,12,15,19,23,
1,2,3,5,6,20,30,42,
1,2,3,5,8,12,14,21,
1,2,3,4,5,9,22,31,
1,2,3,6,8,11,13,22,
1,2,5,7,8,18,19,36,
1,2,4,6,7,8,12,17,
1,3,4,7,9,10,17,24,
1,2,4,5,6,11,16,24,
1,2,3,5,8,12,17,27,
1,2,3,6,10,11,12,15,
1,2,4,5,6,8,12,29,
1,4,5,6,8,11,12,13,
1,2,3,5,10,11,13,38,
1,2,3,4,5,6,15,19,
1,2,3,4,9,11,13,18,
1,2,3,4,5,10,15,18,
1,2,3,4,5,6,8,9,
1,2,5,6,10,11,22,44,
1,2,3,4,5,7,9,11,
1,2,4,5,8,12,30,35,
1,2,3,4,5,10,22,26,
1,2,3,4,5,6,10,13,
1,2,3,4,6,9,13,18,
1,2,3,6,7,12,13,14,
1,2,3,4,10,11,14,15,
1,2,4,9,11,12,16,45,
1,3,4,5,8,14,24,45,
1,2,4,5,6,8,13,14,
1,2,3,4,6,7,17,32,
1,2,4,6,7,10,17,30,
1,2,3,5,9,10,21,23,
1,2,3,4,5,7,8,12,
1,3,4,7,9,14,22,28,
1,2,3,4,5,7,10,17,
1,2,3,4,8,10,17,27,
1,2,3,4,6,8,9,26,
1,2,3,4,6,9,15,18,
1,3,4,5,6,8,11,19,
1,3,4,5,8,10,13,23,
1,2,3,4,5,12,22,53,
1,2,3,4,6,10,12,22,
1,2,3,6,9,12,20,27,
1,2,3,5,8,9,19,22,
1,2,3,9,10,12,22,23,
1,2,3,8,9,15,19,20,
1,2,3,5,8,9,12,13,
1,2,3,4,9,10,13,16,
1,3,4,5,6,10,13,19,
1,2,3,4,5,6,12,26,
1,2,4,5,8,13,14,20,
1,2,3,5,7,8,11,16,
1,2,4,6,7,8,14,39,
1,3,4,5,6,7,9,16,
1,2,3,4,6,23,27,65,
1,2,3,5,6,9,11,12,
1,2,4,6,7,10,16,18,
