,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
0,202006031400.pcap.Mixed_rseed-2222.pcap.103.20.230.42.pcap,105,0,0,0,0,0,0,0,0
1,202006031400.pcap.Mixed_rseed-2222.pcap.103.212.156.185.pcap,329,0,0,0,0,0,0,0,0
2,202006031400.pcap.Mixed_rseed-2222.pcap.103.26.114.52.pcap,349,0,0,0,0,0,0,0,0
3,202006031400.pcap.Mixed_rseed-2222.pcap.104.60.11.51.pcap,64,0,0,0,0,0,0,0,0
4,202006031400.pcap.Mixed_rseed-2222.pcap.104.7.186.149.pcap,146,0,0,0,0,0,0,0,0
6,202006031400.pcap.Mixed_rseed-2222.pcap.110.114.204.26.pcap,116,0,0,0,0,0,0,0,0
7,202006031400.pcap.Mixed_rseed-2222.pcap.111.11.151.87.pcap,356,0,0,0,0,0,0,0,0
8,202006031400.pcap.Mixed_rseed-2222.pcap.114.112.220.87.pcap,78,0,0,0,0,0,0,0,0
9,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0
10,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.106.pcap,23346,0,0,0,0,0,0,0,0
11,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.118.pcap,25323,0,0,0,0,0,0,0,0
12,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.125.pcap,25333,0,0,0,0,0,0,0,0
13,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.41.pcap,23255,0,0,0,0,0,0,0,0
14,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.54.pcap,25546,0,0,0,0,0,0,0,0
15,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.57.pcap,28754,0,0,0,0,0,0,0,0
16,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.73.pcap,22687,0,0,0,0,0,0,0,0
17,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.85.pcap,24692,0,0,0,0,0,0,0,0
18,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.89.pcap,25477,0,0,0,0,0,0,0,0
19,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.182.pcap,32829,0,0,0,0,0,0,0,0
20,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.197.pcap,25749,0,0,0,0,0,0,0,0
21,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.205.pcap,24839,0,0,0,0,0,0,0,0
22,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.213.pcap,23705,0,0,0,0,0,0,0,0
23,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.222.pcap,27520,0,0,0,0,0,0,0,0
24,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.225.pcap,18756,11,0,0,0,0,0,0,0
25,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.245.pcap,26400,0,0,0,0,0,0,0,0
26,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.254.pcap,27376,0,0,0,0,0,0,0,0
27,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.10.pcap,19063,0,0,0,0,0,0,0,0
28,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.5.pcap,24742,0,0,0,0,0,0,0,0
29,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.199.101.pcap,96,0,0,0,0,0,0,0,0
30,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.253.pcap,1975,0,0,0,0,0,0,0,0
31,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.254.pcap,631,0,0,0,0,0,0,0,0
32,202006031400.pcap.Mixed_rseed-2222.pcap.118.205.62.17.pcap,97,0,0,0,0,0,0,0,0
33,202006031400.pcap.Mixed_rseed-2222.pcap.122.43.237.90.pcap,683,3,0,0,0,0,0,0,0
34,202006031400.pcap.Mixed_rseed-2222.pcap.122.85.11.142.pcap,160,0,0,0,0,0,0,0,0
35,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.196.79.pcap,129,0,0,0,0,0,0,0,0
36,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.200.85.pcap,125,0,0,0,0,0,0,0,0
37,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.202.139.pcap,114,0,0,0,0,0,0,0,0
38,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.202.92.pcap,125,0,0,0,0,0,0,0,0
39,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.203.1.pcap,118,0,0,0,0,0,0,0,0
40,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.203.234.pcap,133,0,0,0,0,0,0,0,0
41,202006031400.pcap.Mixed_rseed-2222.pcap.124.132.203.85.pcap,121,0,0,0,0,0,0,0,0
42,202006031400.pcap.Mixed_rseed-2222.pcap.124.147.143.221.pcap,115,1,0,0,0,0,0,0,0
43,202006031400.pcap.Mixed_rseed-2222.pcap.124.226.183.241.pcap,197,0,0,0,0,0,0,0,0
44,202006031400.pcap.Mixed_rseed-2222.pcap.125.203.27.63.pcap,98,0,0,0,0,0,0,0,0
67,202006031400.pcap.Mixed_rseed-2222.pcap.134.46.160.186.pcap,159,0,0,0,0,0,0,0,0
68,202006031400.pcap.Mixed_rseed-2222.pcap.134.46.62.114.pcap,215,0,0,0,0,0,0,0,0
70,202006031400.pcap.Mixed_rseed-2222.pcap.139.62.239.134.pcap,131,0,0,0,0,0,0,0,0
71,202006031400.pcap.Mixed_rseed-2222.pcap.139.62.246.17.pcap,161,0,0,0,0,0,0,0,0
72,202006031400.pcap.Mixed_rseed-2222.pcap.142.130.61.19.pcap,102,0,0,0,0,0,0,0,0
73,202006031400.pcap.Mixed_rseed-2222.pcap.150.218.235.236.pcap,121,0,0,0,0,0,0,0,0
74,202006031400.pcap.Mixed_rseed-2222.pcap.150.218.235.80.pcap,120,0,0,0,0,0,0,0,0
75,202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.190.pcap,133,0,0,0,0,0,0,0,0
76,202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.39.pcap,112,0,0,0,0,0,0,0,0
98,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.166.90.pcap,141,355,0,0,0,0,0,0,0
146,202006031400.pcap.Mixed_rseed-2222.pcap.157.249.29.169.pcap,534,0,0,0,0,0,0,0,0
147,202006031400.pcap.Mixed_rseed-2222.pcap.157.38.140.242.pcap,94,0,0,0,0,0,0,0,0
148,202006031400.pcap.Mixed_rseed-2222.pcap.157.53.21.60.pcap,72,0,0,0,0,0,0,0,0
149,202006031400.pcap.Mixed_rseed-2222.pcap.159.70.103.152.pcap,94,0,0,0,0,0,0,0,0
150,202006031400.pcap.Mixed_rseed-2222.pcap.159.93.223.168.pcap,96,0,0,0,0,0,0,0,0
152,202006031400.pcap.Mixed_rseed-2222.pcap.162.207.240.218.pcap,2084,0,0,0,0,0,0,0,0
153,202006031400.pcap.Mixed_rseed-2222.pcap.162.207.242.40.pcap,272,0,0,0,0,0,0,0,0
154,202006031400.pcap.Mixed_rseed-2222.pcap.162.207.246.189.pcap,256,0,0,0,0,0,0,0,0
155,202006031400.pcap.Mixed_rseed-2222.pcap.162.207.246.48.pcap,256,0,0,0,0,0,0,0,0
209,202006031400.pcap.Mixed_rseed-2222.pcap.163.75.111.215.pcap,131,0,0,0,0,0,0,0,0
210,202006031400.pcap.Mixed_rseed-2222.pcap.164.123.136.177.pcap,219,0,0,0,0,0,0,0,0
211,202006031400.pcap.Mixed_rseed-2222.pcap.164.132.238.126.pcap,68,0,0,0,0,0,0,0,0
212,202006031400.pcap.Mixed_rseed-2222.pcap.164.52.121.235.pcap,97,1,0,0,0,0,0,0,0
213,202006031400.pcap.Mixed_rseed-2222.pcap.165.224.76.208.pcap,61,0,0,0,0,0,0,0,0
214,202006031400.pcap.Mixed_rseed-2222.pcap.167.92.76.189.pcap,110,0,0,0,0,0,0,0,0
215,202006031400.pcap.Mixed_rseed-2222.pcap.178.63.213.204.pcap,83,0,0,0,0,0,0,0,0
216,202006031400.pcap.Mixed_rseed-2222.pcap.178.63.222.238.pcap,139,0,0,0,0,0,0,0,0
217,202006031400.pcap.Mixed_rseed-2222.pcap.180.150.59.16.pcap,131,0,0,0,0,0,0,0,0
218,202006031400.pcap.Mixed_rseed-2222.pcap.182.239.172.222.pcap,340,0,0,0,0,0,0,0,0
219,202006031400.pcap.Mixed_rseed-2222.pcap.185.102.244.129.pcap,113,0,0,0,0,0,0,0,0
220,202006031400.pcap.Mixed_rseed-2222.pcap.185.102.246.36.pcap,530,0,0,0,0,0,0,0,0
221,202006031400.pcap.Mixed_rseed-2222.pcap.185.16.118.125.pcap,318,0,0,0,0,0,0,0,0
222,202006031400.pcap.Mixed_rseed-2222.pcap.185.79.228.37.pcap,76,0,0,0,0,0,0,0,0
223,202006031400.pcap.Mixed_rseed-2222.pcap.188.88.44.129.pcap,140,0,0,0,0,0,0,0,0
224,202006031400.pcap.Mixed_rseed-2222.pcap.188.88.77.172.pcap,137,0,0,0,0,0,0,0,0
225,202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.1.pcap,90,0,0,0,0,0,0,0,0
226,202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.2.pcap,90,0,0,0,0,0,0,0,0
227,202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.3.pcap,90,0,0,0,0,0,0,0,0
228,202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.4.pcap,90,0,0,0,0,0,0,0,0
229,202006031400.pcap.Mixed_rseed-2222.pcap.192.1.1.5.pcap,90,0,0,0,0,0,0,0,0
230,202006031400.pcap.Mixed_rseed-2222.pcap.192.156.119.124.pcap,122,0,0,0,0,0,0,0,0
231,202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.1.pcap,90,0,0,0,0,0,0,0,0
232,202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.2.pcap,90,0,0,0,0,0,0,0,0
233,202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.3.pcap,90,0,0,0,0,0,0,0,0
234,202006031400.pcap.Mixed_rseed-2222.pcap.192.2.2.5.pcap,90,0,0,0,0,0,0,0,0
236,202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.1.pcap,90,0,0,0,0,0,0,0,0
237,202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.2.pcap,90,0,0,0,0,0,0,0,0
238,202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.3.pcap,90,0,0,0,0,0,0,0,0
239,202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.4.pcap,90,0,0,0,0,0,0,0,0
240,202006031400.pcap.Mixed_rseed-2222.pcap.192.3.3.5.pcap,90,0,0,0,0,0,0,0,0
241,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.120.pcap,3390,0,0,0,0,0,0,0,0
242,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.125.pcap,2671,1,0,0,0,0,0,0,0
243,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.240.pcap,3317,0,0,0,0,0,0,0,0
244,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.243.pcap,3095,0,0,0,0,0,0,0,0
245,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.244.pcap,3349,0,0,0,0,0,0,0,0
