,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
2,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0
3,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.106.pcap,23346,0,0,0,0,0,0,0,0
4,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.118.pcap,25323,0,0,0,0,0,0,0,0
5,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.125.pcap,25333,0,0,0,0,0,0,0,0
6,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.41.pcap,23255,0,0,0,0,0,0,0,0
7,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.54.pcap,25546,0,0,0,0,0,0,0,0
8,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.57.pcap,28754,0,0,0,0,0,0,0,0
9,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.73.pcap,22687,0,0,0,0,0,0,0,0
10,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.85.pcap,24692,0,0,0,0,0,0,0,0
11,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.89.pcap,25477,0,0,0,0,0,0,0,0
12,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.182.pcap,32829,0,0,0,0,0,0,0,0
13,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.197.pcap,25749,0,0,0,0,0,0,0,0
14,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.205.pcap,24839,0,0,0,0,0,0,0,0
15,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.213.pcap,23705,0,0,0,0,0,0,0,0
16,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.222.pcap,27520,0,0,0,0,0,0,0,0
17,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.225.pcap,18756,11,0,0,0,0,0,0,0
18,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.245.pcap,26400,0,0,0,0,0,0,0,0
19,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.254.pcap,27376,0,0,0,0,0,0,0,0
20,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.10.pcap,19063,0,0,0,0,0,0,0,0
21,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.5.pcap,24742,0,0,0,0,0,0,0,0
22,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.253.pcap,1975,0,0,0,0,0,0,0,0
25,202006031400.pcap.Mixed_rseed-2222.pcap.125.112.98.132.pcap,1626,0,0,0,0,0,0,0,0
28,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.199.pcap,3132,6,0,0,0,0,0,0,0
29,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.28.pcap,1858,0,0,0,0,0,0,0,0
30,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.30.pcap,2429,0,0,0,0,0,0,0,0
32,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.17.195.pcap,42,453,3217,0,0,0,0,0,0
33,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.17.197.pcap,39,420,3233,0,0,0,0,0,0
35,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.201.9.pcap,3271,33,0,0,0,0,0,0,0
36,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.240.15.pcap,2249,3,0,0,0,0,0,0,0
41,202006031400.pcap.Mixed_rseed-2222.pcap.144.38.131.193.pcap,2084,0,0,0,0,0,0,0,0
43,202006031400.pcap.Mixed_rseed-2222.pcap.160.112.128.165.pcap,132,68,10,0,0,0,0,0,0
44,202006031400.pcap.Mixed_rseed-2222.pcap.162.207.240.218.pcap,2084,0,0,0,0,0,0,0,0
48,202006031400.pcap.Mixed_rseed-2222.pcap.193.157.255.201.pcap,2084,0,0,0,0,0,0,0,0
49,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.120.pcap,3390,0,0,0,0,0,0,0,0
51,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.240.pcap,3317,0,0,0,0,0,0,0,0
53,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.244.pcap,3349,0,0,0,0,0,0,0,0
54,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.246.pcap,3249,0,0,0,0,0,0,0,0
55,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1001_D475_47C4_D8A1_E21_58D5_A86C.pcap,377,108,0,0,0,0,0,0,0
56,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1ED5_15_E700_780_35B9_A3FE_9CC.pcap,62732,5,0,0,0,0,0,0,0
57,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1ED5_1_E004_F787_478_321_873D.pcap,88480,5,0,0,0,0,0,0,0
60,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_1AE5_F84_839_5CE0_F89.pcap,8646,1,0,0,0,0,0,0,0
65,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_6558_26C_7BDF_AE32_98B8.pcap,56,61,6,0,0,0,0,0,0
74,202006031400.pcap.Mixed_rseed-2222.pcap.210.166.198.124.pcap,1492,0,0,0,0,0,0,0,0
75,202006031400.pcap.Mixed_rseed-2222.pcap.211.141.147.47.pcap,1462,0,0,0,0,0,0,0,0
77,202006031400.pcap.Mixed_rseed-2222.pcap.211.141.147.61.pcap,1350,0,0,0,0,0,0,0,0
82,202006031400.pcap.Mixed_rseed-2222.pcap.34.176.242.226.pcap,2501,0,0,0,0,0,0,0,0
