file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.Mixed_rseed-2222.pcap.101.118.134.148.pcap,0,16,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.101.124.220.97.pcap,49,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.103.197.8.105.pcap,64,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.103.20.230.42.pcap,105,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.103.212.156.185.pcap,329,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.103.26.114.52.pcap,349,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.103.3.173.129.pcap,39,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.103.45.79.121.pcap,30,3,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.104.35.115.71.pcap,45,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.104.60.11.51.pcap,64,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.104.7.186.149.pcap,146,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.106.100.123.99.pcap,6,6,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.106.247.218.121.pcap,35,4,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.106.247.85.164.pcap,0,8,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.106.75.234.80.pcap,56,43,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.110.114.204.26.pcap,116,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.110.132.99.62.pcap,0,13,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.111.11.151.87.pcap,356,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.111.15.111.160.pcap,41,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.111.216.222.94.pcap,2,15,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.111.216.223.156.pcap,62,59,2,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.111.216.224.217.pcap,2,14,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.112.90.124.121.pcap,0,8,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.113.244.237.106.pcap,34,7,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.114.112.220.87.pcap,78,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0,
