file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.101.145.199.58.pcap,201,47,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.101.146.14.113.pcap,980,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.1.123.22.pcap,11413,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.13.52.245.pcap,503,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.16.5.26.pcap,505,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.195.172.208.pcap,1655,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.208.81.218.pcap,782,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.209.249.222.pcap,1910,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.21.134.7.pcap,1184,80,3,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.213.114.148.pcap,577,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.217.132.203.pcap,812,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.221.82.62.pcap,609,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.249.206.132.pcap,1153,1,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.27.67.155.pcap,1652,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.37.144.28.pcap,960,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.37.146.199.pcap,1017,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.37.146.235.pcap,1031,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.42.18.180.pcap,958,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.43.129.40.pcap,507,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.74.15.254.pcap,930,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.132.164.230.pcap,12162,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.140.119.57.pcap,908,1,2,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.212.115.100.pcap,1473,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.212.26.93.pcap,994,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.224.156.72.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.106.187.232.12.pcap,6999,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.106.96.90.9.pcap,889,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.130.24.pcap,903,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.140.34.pcap,1600,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.140.73.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.147.128.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.157.156.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.157.222.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.158.133.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.158.19.pcap,799,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.158.75.pcap,801,1,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.159.109.pcap,789,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.159.117.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.180.124.pcap,786,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.180.58.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.181.120.pcap,799,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.181.4.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.182.28.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.183.22.pcap,802,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.183.252.pcap,102,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.183.51.pcap,801,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.183.73.pcap,1600,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.183.91.pcap,798,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.184.222.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.184.230.pcap,101,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.186.127.pcap,1588,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.186.190.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.186.46.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.187.28.pcap,903,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.187.73.pcap,796,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.188.25.pcap,1703,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.188.7.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.190.139.pcap,793,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.190.174.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.190.200.pcap,798,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.190.97.pcap,1600,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.191.120.pcap,903,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.191.59.pcap,800,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.109.188.73.6.pcap,905,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.110.203.30.91.pcap,246,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.110.81.178.30.pcap,509,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.111.117.116.211.pcap,5683,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.112.149.228.58.pcap,355,136,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.112.32.150.44.pcap,805,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.112.32.180.151.pcap,490,71,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.113.123.10.157.pcap,512,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.113.162.216.244.pcap,1600,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.113.195.153.160.pcap,507,16,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.113.89.188.101.pcap,3149,0,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.64.144.199.pcap,1066,235,0,0,0,0,0,0,0,
201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.73.175.88.pcap,2485,239,0,0,0,0,0,0,0,
