,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
20,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.132.164.230.pcap,12162,0,0,0,0,0,0,0,0
25,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.106.187.232.12.pcap,6999,0,0,0,0,0,0,0,0
66,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.111.117.116.211.pcap,5683,0,0,0,0,0,0,0,0
67,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.112.149.228.58.pcap,355,136,0,0,0,0,0,0,0
74,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.64.144.199.pcap,1066,235,0,0,0,0,0,0,0
75,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.73.175.88.pcap,2485,239,0,0,0,0,0,0,0
76,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.81.124.50.pcap,2268,180,0,0,0,0,0,0,0
79,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.116.207.10.185.pcap,411,169,0,0,0,0,0,0,0
80,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.117.117.62.214.pcap,786,165,0,0,0,0,0,0,0
87,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.118.23.25.70.pcap,8291,0,0,0,0,0,0,0,0
93,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.119.151.77.229.pcap,4928,0,0,0,0,0,0,0,0
102,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.120.180.155.148.pcap,6530,0,0,0,0,0,0,0,0
108,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.238.37.pcap,13505,0,0,0,0,0,0,0,0
111,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.239.50.pcap,13946,0,0,0,0,0,0,0,0
112,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.239.81.pcap,10018,0,0,0,0,0,0,0,0
121,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.122.232.19.92.pcap,20141,26,0,0,0,0,0,0,0
140,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.125.84.129.23.pcap,4437,0,0,0,0,0,0,0,0
184,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.154.214.pcap,41408,3,0,0,0,0,0,0,0
185,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.154.233.pcap,15132,1,0,0,0,0,0,0,0
189,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.154.63.pcap,320732,12,0,0,0,0,0,0,0
199,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.53.120.pcap,9228,1,0,0,0,0,0,0,0
203,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.133.149.242.249.pcap,105400,6,0,0,0,0,0,0,0
227,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.134.160.241.20.pcap,1796,0,0,0,0,0,0,0,0
232,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.136.186.210.97.pcap,2153,48,0,0,0,0,0,0,0
247,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.142.161.139.196.pcap,2210,95,0,0,0,0,0,0,0
254,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.145.236.119.71.pcap,8934,0,0,0,0,0,0,0,0
272,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.150.30.3.131.pcap,0,3,20,0,0,0,0,0,0
305,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.150.57.22.222.pcap,5069,0,0,0,0,0,0,0,0
311,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.150.57.4.188.pcap,45,370,7,2,0,0,0,0,0
329,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.153.144.162.144.pcap,2360,253,0,0,0,0,0,0,0
330,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.153.148.147.202.pcap,2896,0,0,0,0,0,0,0,0
335,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.153.209.99.92.pcap,5180,0,0,0,0,0,0,0,0
398,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.111.205.pcap,107157,2,1,0,0,0,0,0,0
543,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.141.245.pcap,128,230,22,0,0,0,0,0,0
636,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.191.103.pcap,30154,1769,98,7,3,0,0,0,0
