,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
0,202006031400.pcap.Mixed_rseed-2222.pcap.103.197.8.105.pcap,64,0,0,0,0,0,0,0,0
1,202006031400.pcap.Mixed_rseed-2222.pcap.103.212.156.185.pcap,329,0,0,0,0,0,0,0,0
2,202006031400.pcap.Mixed_rseed-2222.pcap.103.26.114.52.pcap,349,0,0,0,0,0,0,0,0
4,202006031400.pcap.Mixed_rseed-2222.pcap.110.114.204.26.pcap,116,0,0,0,0,0,0,0,0
5,202006031400.pcap.Mixed_rseed-2222.pcap.111.11.151.87.pcap,356,0,0,0,0,0,0,0,0
6,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0
7,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.106.pcap,23346,0,0,0,0,0,0,0,0
8,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.118.pcap,25323,0,0,0,0,0,0,0,0
9,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.125.pcap,25333,0,0,0,0,0,0,0,0
10,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.41.pcap,23255,0,0,0,0,0,0,0,0
11,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.54.pcap,25546,0,0,0,0,0,0,0,0
12,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.57.pcap,28754,0,0,0,0,0,0,0,0
13,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.73.pcap,22687,0,0,0,0,0,0,0,0
14,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.85.pcap,24692,0,0,0,0,0,0,0,0
15,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.89.pcap,25477,0,0,0,0,0,0,0,0
16,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.182.pcap,32829,0,0,0,0,0,0,0,0
17,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.197.pcap,25749,0,0,0,0,0,0,0,0
18,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.205.pcap,24839,0,0,0,0,0,0,0,0
19,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.213.pcap,23705,0,0,0,0,0,0,0,0
20,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.222.pcap,27520,0,0,0,0,0,0,0,0
21,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.225.pcap,18756,11,0,0,0,0,0,0,0
22,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.245.pcap,26400,0,0,0,0,0,0,0,0
23,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.254.pcap,27376,0,0,0,0,0,0,0,0
24,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.10.pcap,19063,0,0,0,0,0,0,0,0
25,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.5.pcap,24742,0,0,0,0,0,0,0,0
26,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.253.pcap,1975,0,0,0,0,0,0,0,0
27,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.254.pcap,631,0,0,0,0,0,0,0,0
28,202006031400.pcap.Mixed_rseed-2222.pcap.122.43.237.90.pcap,683,3,0,0,0,0,0,0,0
29,202006031400.pcap.Mixed_rseed-2222.pcap.122.85.11.142.pcap,160,0,0,0,0,0,0,0,0
32,202006031400.pcap.Mixed_rseed-2222.pcap.124.226.183.241.pcap,197,0,0,0,0,0,0,0,0
33,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.216.pcap,39,1155,49,8,5,1,0,0,0
34,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.218.pcap,76,1222,60,22,5,0,0,0,0
35,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.220.pcap,11,707,68,0,0,0,0,0,0
36,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.135.54.pcap,5,411,17,0,0,0,0,0,0
37,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.139.215.pcap,8,283,15,0,0,0,0,0,0
38,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.142.239.pcap,198,3619,229,9,14,4,0,0,0
39,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.150.249.pcap,10,654,32,1,0,0,0,0,0
40,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.201.12.pcap,47,604,30,4,0,0,0,0,0
42,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.203.211.pcap,5,109,1,1,0,0,0,0,0
43,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.217.23.pcap,17,172,15,0,0,0,0,0,0
44,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.60.125.pcap,1,118,10,1,0,0,0,0,0
45,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.248.44.pcap,125,1426,252,29,1,0,0,0,0
46,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.3.44.pcap,10,178,5,0,0,0,0,0,0
47,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.36.104.pcap,952,4362,572,7,0,0,0,0,0
48,202006031400.pcap.Mixed_rseed-2222.pcap.134.46.160.186.pcap,159,0,0,0,0,0,0,0,0
49,202006031400.pcap.Mixed_rseed-2222.pcap.134.46.62.114.pcap,215,0,0,0,0,0,0,0,0
50,202006031400.pcap.Mixed_rseed-2222.pcap.139.62.239.134.pcap,131,0,0,0,0,0,0,0,0
51,202006031400.pcap.Mixed_rseed-2222.pcap.139.62.246.17.pcap,161,0,0,0,0,0,0,0,0
52,202006031400.pcap.Mixed_rseed-2222.pcap.142.130.61.19.pcap,102,0,0,0,0,0,0,0,0
53,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.115.158.pcap,3,256,15,2,0,0,0,0,0
55,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.124.90.pcap,771,137,12,4,0,0,0,0,0
56,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.137.74.pcap,87,687,43,2,1,0,0,0,0
57,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.144.33.pcap,2,224,59,6,0,0,0,0,0
58,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.133.pcap,13,384,15,9,0,0,0,0,0
59,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.224.pcap,10,94,8,1,0,0,0,0,0
60,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.38.pcap,7,86,23,1,0,0,0,0,0
61,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.60.pcap,14,563,23,2,0,0,0,0,0
62,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.95.pcap,6,80,22,3,0,0,0,0,0
63,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.161.0.pcap,5,177,15,9,0,0,0,0,0
64,202006031400.pcap.Mixed_rseed-2222.pcap.150.242.161.203.pcap,8,341,47,3,0,0,0,0,0
