file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.103.197.8.105.pcap,64,0,0,0,0,0,0,0,0,
202006031400.pcap.103.20.230.42.pcap,105,0,0,0,0,0,0,0,0,
202006031400.pcap.103.26.114.52.pcap,349,0,0,0,0,0,0,0,0,
202006031400.pcap.103.3.173.129.pcap,39,0,0,0,0,0,0,0,0,
202006031400.pcap.103.45.79.121.pcap,30,3,0,0,0,0,0,0,0,
202006031400.pcap.104.35.115.71.pcap,45,0,0,0,0,0,0,0,0,
202006031400.pcap.104.60.11.51.pcap,64,0,0,0,0,0,0,0,0,
202006031400.pcap.104.7.186.149.pcap,146,0,0,0,0,0,0,0,0,
202006031400.pcap.106.246.27.132.pcap,4,100,0,0,0,0,0,0,0,
202006031400.pcap.106.75.234.80.pcap,56,43,0,0,0,0,0,0,0,
202006031400.pcap.106.75.238.14.pcap,48,1,0,0,0,0,0,0,0,
202006031400.pcap.107.186.250.165.pcap,325,0,0,0,0,0,0,0,0,
202006031400.pcap.110.114.204.26.pcap,116,0,0,0,0,0,0,0,0,
202006031400.pcap.111.11.151.87.pcap,356,0,0,0,0,0,0,0,0,
202006031400.pcap.111.15.111.160.pcap,41,0,0,0,0,0,0,0,0,
202006031400.pcap.111.216.223.156.pcap,62,59,2,0,0,0,0,0,0,
202006031400.pcap.113.244.237.106.pcap,34,7,0,0,0,0,0,0,0,
202006031400.pcap.114.112.220.87.pcap,78,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.106.pcap,23346,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.118.pcap,25323,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.125.pcap,25333,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.41.pcap,23255,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.54.pcap,25546,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.57.pcap,28754,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.73.pcap,22687,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.85.pcap,24692,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.12.89.pcap,25477,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.182.pcap,32829,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.197.pcap,25749,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.205.pcap,24839,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.213.pcap,23705,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.222.pcap,27520,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.225.pcap,18756,11,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.245.pcap,26400,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.4.254.pcap,27376,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.5.10.pcap,19063,0,0,0,0,0,0,0,0,
202006031400.pcap.114.124.5.5.pcap,24742,0,0,0,0,0,0,0,0,
202006031400.pcap.118.120.73.253.pcap,1975,0,0,0,0,0,0,0,0,
202006031400.pcap.118.120.73.254.pcap,631,0,0,0,0,0,0,0,0,
202006031400.pcap.118.123.205.183.pcap,7,18,0,0,0,0,0,0,0,
202006031400.pcap.118.123.219.56.pcap,40,0,0,0,0,0,0,0,0,
202006031400.pcap.118.128.164.141.pcap,2,100,0,0,0,0,0,0,0,
202006031400.pcap.118.129.179.161.pcap,54,0,0,0,0,0,0,0,0,
202006031400.pcap.120.101.158.70.pcap,56,0,0,0,0,0,0,0,0,
202006031400.pcap.121.137.253.103.pcap,22,1,0,0,0,0,0,0,0,
202006031400.pcap.121.175.46.64.pcap,22,6,0,0,0,0,0,0,0,
202006031400.pcap.122.85.11.142.pcap,160,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.196.79.pcap,129,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.200.85.pcap,125,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.202.139.pcap,114,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.202.92.pcap,125,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.203.1.pcap,118,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.203.234.pcap,133,0,0,0,0,0,0,0,0,
202006031400.pcap.124.132.203.85.pcap,121,0,0,0,0,0,0,0,0,
202006031400.pcap.124.147.143.221.pcap,115,1,0,0,0,0,0,0,0,
202006031400.pcap.124.226.183.241.pcap,197,0,0,0,0,0,0,0,0,
