,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
2,202006031400.pcap.103.26.114.52.pcap,349,0,0,0,0,0,0,0,0
8,202006031400.pcap.106.246.27.132.pcap,4,100,0,0,0,0,0,0,0
9,202006031400.pcap.106.75.234.80.pcap,56,43,0,0,0,0,0,0,0
11,202006031400.pcap.107.186.250.165.pcap,325,0,0,0,0,0,0,0,0
13,202006031400.pcap.111.11.151.87.pcap,356,0,0,0,0,0,0,0,0
18,202006031400.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0
19,202006031400.pcap.114.124.12.106.pcap,23346,0,0,0,0,0,0,0,0
20,202006031400.pcap.114.124.12.118.pcap,25323,0,0,0,0,0,0,0,0
21,202006031400.pcap.114.124.12.125.pcap,25333,0,0,0,0,0,0,0,0
22,202006031400.pcap.114.124.12.41.pcap,23255,0,0,0,0,0,0,0,0
23,202006031400.pcap.114.124.12.54.pcap,25546,0,0,0,0,0,0,0,0
24,202006031400.pcap.114.124.12.57.pcap,28754,0,0,0,0,0,0,0,0
25,202006031400.pcap.114.124.12.73.pcap,22687,0,0,0,0,0,0,0,0
26,202006031400.pcap.114.124.12.85.pcap,24692,0,0,0,0,0,0,0,0
27,202006031400.pcap.114.124.12.89.pcap,25477,0,0,0,0,0,0,0,0
28,202006031400.pcap.114.124.4.182.pcap,32829,0,0,0,0,0,0,0,0
29,202006031400.pcap.114.124.4.197.pcap,25749,0,0,0,0,0,0,0,0
30,202006031400.pcap.114.124.4.205.pcap,24839,0,0,0,0,0,0,0,0
31,202006031400.pcap.114.124.4.213.pcap,23705,0,0,0,0,0,0,0,0
32,202006031400.pcap.114.124.4.222.pcap,27520,0,0,0,0,0,0,0,0
33,202006031400.pcap.114.124.4.225.pcap,18756,11,0,0,0,0,0,0,0
34,202006031400.pcap.114.124.4.245.pcap,26400,0,0,0,0,0,0,0,0
35,202006031400.pcap.114.124.4.254.pcap,27376,0,0,0,0,0,0,0,0
36,202006031400.pcap.114.124.5.10.pcap,19063,0,0,0,0,0,0,0,0
37,202006031400.pcap.114.124.5.5.pcap,24742,0,0,0,0,0,0,0,0
38,202006031400.pcap.118.120.73.253.pcap,1975,0,0,0,0,0,0,0,0
39,202006031400.pcap.118.120.73.254.pcap,631,0,0,0,0,0,0,0,0
